#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
17077at4891_7|contig_20:675144-676478   -            445 17077at4891          -            266  1.4e-126  418.5   4.1   1   1  4.1e-126  1.4e-124  411.9   4.1     1   266   120   420   120   420 0.91 -
24709at4891_2|contig_19:568817-569980   -            388 17077at4891          -            266   4.3e-07   26.8   0.3   3   3    0.0087       0.3    7.6   0.0    60    85   294   320   283   336 0.85 -
3395at4891|contig_3:149985-153314       -           1110 17077at4891          -            266   4.7e-07   26.6   1.1   1   3   2.9e-05   0.00099   15.8   0.0    12    54   160   202   158   211 0.86 -
3395at4891|contig_3:149985-153314       -           1110 17077at4891          -            266   4.7e-07   26.6   1.1   2   3     0.029         1    5.9   0.1     6    47   260   300   251   309 0.62 -
3395at4891|contig_3:149985-153314       -           1110 17077at4891          -            266   4.7e-07   26.6   1.1   3   3       1.7        58    0.1   0.0   152   222   409   479   405   502 0.64 -
14374at4891_2|contig_13:332709-333749   -            347 17077at4891          -            266   9.3e-07   25.7   3.3   1   2    0.0002    0.0069   13.0   0.8    12    85     7    85     4   141 0.72 -
14374at4891_2|contig_13:332709-333749   -            347 17077at4891          -            266   9.3e-07   25.7   3.3   2   2   0.00053     0.018   11.6   0.1     9   125   207   332   200   340 0.75 -
12381at4891_2|contig_6:370698-371990    -            431 17077at4891          -            266   9.6e-07   25.6   0.6   1   3   6.6e-05    0.0023   14.6   0.0    85   137    52   108    42   138 0.78 -
12381at4891_2|contig_6:370698-371990    -            431 17077at4891          -            266   9.6e-07   25.6   0.6   2   3       1.2        43    0.6   0.0    26    50   216   241   187   260 0.71 -
12381at4891_2|contig_6:370698-371990    -            431 17077at4891          -            266   9.6e-07   25.6   0.6   3   3     0.021      0.74    6.3   0.0   197   249   341   393   330   402 0.88 -
27209at4891_7|contig_12:526249-527970   -            574 17077at4891          -            266     2e-06   24.6   5.1   1   3       7.6   2.6e+02   -2.0   0.0    28    45   228   245   222   249 0.82 -
27209at4891_7|contig_12:526249-527970   -            574 17077at4891          -            266     2e-06   24.6   5.1   2   3   7.7e-07   2.7e-05   20.9   1.9     4   161   276   453   271   463 0.75 -
27209at4891_7|contig_12:526249-527970   -            574 17077at4891          -            266     2e-06   24.6   5.1   3   3      0.12         4    3.9   0.0    53   130   418   510   416   529 0.58 -
3223at4891_4|contig_20:629764-632451    -            896 17077at4891          -            266   5.2e-06   23.2   0.1   1   3       6.8   2.4e+02   -1.9   0.0   193   225   179   211   138   234 0.74 -
3223at4891_4|contig_20:629764-632451    -            896 17077at4891          -            266   5.2e-06   23.2   0.1   2   3   1.5e-07   5.2e-06   23.2   0.1    11   100   253   340   246   346 0.91 -
3223at4891_4|contig_20:629764-632451    -            896 17077at4891          -            266   5.2e-06   23.2   0.1   3   3       9.6   3.3e+02   -2.4   0.0   221   240   573   592   565   605 0.80 -
5502at4891_2|contig_3:61943-65851       -           1303 17077at4891          -            266   7.7e-06   22.7   0.0   1   2   2.1e-05   0.00073   16.2   0.0    11   130   220   257   187   275 0.66 -
5502at4891_2|contig_3:61943-65851       -           1303 17077at4891          -            266   7.7e-06   22.7   0.0   2   2      0.16       5.4    3.5   0.0    94   125   331   362   302   370 0.79 -
33087at4891_2|contig_13:103254-104441   -            396 17077at4891          -            266   1.2e-05   22.0   0.2   1   3      0.15       5.1    3.6   0.1    64    86    21    43     8    78 0.64 -
33087at4891_2|contig_13:103254-104441   -            396 17077at4891          -            266   1.2e-05   22.0   0.2   2   3       5.3   1.8e+02   -1.5   0.0    27    48   197   218   187   267 0.56 -
33087at4891_2|contig_13:103254-104441   -            396 17077at4891          -            266   1.2e-05   22.0   0.2   3   3   4.5e-05    0.0016   15.1   0.0    94   142   288   337   284   349 0.86 -
1495at4891_2|contig_14:101101-104910    -           1270 17077at4891          -            266   1.4e-05   21.8   4.6   1   3       1.1        37    0.8   0.0   216   244    71   100    53   105 0.84 -
1495at4891_2|contig_14:101101-104910    -           1270 17077at4891          -            266   1.4e-05   21.8   4.6   2   3   6.5e-06   0.00023   17.9   0.6    10   146   104   265    97   286 0.63 -
1495at4891_2|contig_14:101101-104910    -           1270 17077at4891          -            266   1.4e-05   21.8   4.6   3   3       9.5   3.3e+02   -2.3   0.1   186   245   516   575   509   580 0.78 -
21297at4891_1|contig_3:380300-381307    -            336 17077at4891          -            266   2.3e-05   21.1   0.2   1   1   2.1e-06   7.4e-05   19.4   0.0    25    95   217   290   197   325 0.73 -
12947at4891_2|contig_5:63925-65199      -            425 17077at4891          -            266   2.6e-05   20.9   0.2   1   4   0.00065     0.023   11.3   0.0    19    88    31   103    15   109 0.66 -
12947at4891_2|contig_5:63925-65199      -            425 17077at4891          -            266   2.6e-05   20.9   0.2   2   4       1.3        46    0.4   0.0   218   239   181   202   155   225 0.80 -
12947at4891_2|contig_5:63925-65199      -            425 17077at4891          -            266   2.6e-05   20.9   0.2   3   4      0.49        17    1.9   0.0   148   166   230   248   218   269 0.72 -
12947at4891_2|contig_5:63925-65199      -            425 17077at4891          -            266   2.6e-05   20.9   0.2   4   4      0.71        25    1.3   0.0    18    55   270   310   255   321 0.77 -
15697at4891_3|contig_17:408371-409825   -            485 17077at4891          -            266   4.7e-05   20.1   0.3   1   1   3.2e-06   0.00011   18.9   0.1    26   114   324   414   309   433 0.81 -
17712at4891_2|contig_2:849820-851199    -            460 17077at4891          -            266   5.4e-05   19.9   0.1   1   5     0.071       2.5    4.6   0.0   108   126    26    44     4    62 0.60 -
17712at4891_2|contig_2:849820-851199    -            460 17077at4891          -            266   5.4e-05   19.9   0.1   2   5     0.033       1.1    5.7   0.0    71   103    29    61    16   107 0.55 -
17712at4891_2|contig_2:849820-851199    -            460 17077at4891          -            266   5.4e-05   19.9   0.1   3   5      0.14       4.9    3.6   0.0   170   212    67   111    56   172 0.66 -
17712at4891_2|contig_2:849820-851199    -            460 17077at4891          -            266   5.4e-05   19.9   0.1   4   5     0.027      0.92    6.0   0.0    31    79   161   209   154   216 0.45 -
17712at4891_2|contig_2:849820-851199    -            460 17077at4891          -            266   5.4e-05   19.9   0.1   5   5      0.17         6    3.3   0.0    12    45   185   217   180   226 0.87 -
14677at4891_4|contig_14:168793-170358   -            522 17077at4891          -            266     6e-05   19.7   0.1   1   3       2.6        89   -0.5   0.0   103   129   191   219   181   282 0.66 -
14677at4891_4|contig_14:168793-170358   -            522 17077at4891          -            266     6e-05   19.7   0.1   2   3     0.003       0.1    9.1   0.0    16    45   335   364   324   369 0.85 -
14677at4891_4|contig_14:168793-170358   -            522 17077at4891          -            266     6e-05   19.7   0.1   3   3     0.026      0.91    6.0   0.0    99   130   392   423   380   430 0.85 -
6917at4891_2|contig_7:297328-299076     -            583 17077at4891          -            266   0.00011   18.8   0.0   1   3   0.00011    0.0037   13.9   0.0    89   134   229   274   184   287 0.74 -
6917at4891_2|contig_7:297328-299076     -            583 17077at4891          -            266   0.00011   18.8   0.0   2   3       2.8        97   -0.6   0.0    19    47   459   488   445   512 0.72 -
6917at4891_2|contig_7:297328-299076     -            583 17077at4891          -            266   0.00011   18.8   0.0   3   3         3     1e+02   -0.7   0.0    98   126   552   580   547   582 0.69 -
15470at4891|contig_25:457952-458512     -            187 17077at4891          -            266   0.00018   18.2   0.1   1   2   0.00016    0.0055   13.3   0.0    68   142    12    88     1   132 0.84 -
15470at4891|contig_25:457952-458512     -            187 17077at4891          -            266   0.00018   18.2   0.1   2   2      0.21       7.4    3.1   0.0   144   164   166   186   150   187 0.63 -
12237at4891_2|contig_19:296301-297962   -            554 17077at4891          -            266    0.0002   18.0   0.7   1   2   5.8e-05     0.002   14.8   0.1    26    86   150   226   134   230 0.70 -
12237at4891_2|contig_19:296301-297962   -            554 17077at4891          -            266    0.0002   18.0   0.7   2   2       2.5        86   -0.4   0.0     7    39   483   514   478   547 0.52 -
19161at4891_7|contig_14:1241427-1243349 -            641 17077at4891          -            266   0.00024   17.8   0.3   1   2       0.2       6.8    3.2   0.0   152   219    80   149    68   163 0.78 -
19161at4891_7|contig_14:1241427-1243349 -            641 17077at4891          -            266   0.00024   17.8   0.3   2   2   0.00033     0.011   12.3   0.1     7    56   177   228   164   297 0.67 -
10649at4891_2|contig_16:198326-200116   -            597 17077at4891          -            266   0.00035   17.2   0.0   1   4     0.024      0.82    6.2   0.0    59    89   173   203   165   223 0.89 -
10649at4891_2|contig_16:198326-200116   -            597 17077at4891          -            266   0.00035   17.2   0.0   2   4       6.4   2.2e+02   -1.8   0.0    86   126   245   285   242   299 0.81 -
10649at4891_2|contig_16:198326-200116   -            597 17077at4891          -            266   0.00035   17.2   0.0   3   4      0.06       2.1    4.9   0.0    11    49   300   337   291   354 0.76 -
10649at4891_2|contig_16:198326-200116   -            597 17077at4891          -            266   0.00035   17.2   0.0   4   4       2.7        94   -0.6   0.0   110   130   426   446   416   455 0.77 -
2630at4891_2|contig_4:378801-383156     -           1452 17077at4891          -            266   0.00077   16.1   0.3   1   2    0.0033      0.11    9.0   0.0    60   122  1083  1153  1065  1217 0.70 -
2630at4891_2|contig_4:378801-383156     -           1452 17077at4891          -            266   0.00077   16.1   0.3   2   2     0.098       3.4    4.2   0.1    96   145  1230  1281  1188  1321 0.74 -
5370at4891_4|contig_17:325129-326763    -            545 17077at4891          -            266    0.0014   15.2   0.0   1   1   0.00024    0.0084   12.7   0.0    12    48   264   299   254   319 0.82 -
10313at4891_2|contig_13:165291-166868   -            526 17077at4891          -            266    0.0015   15.1   4.0   1   4     0.029         1    5.9   0.0    24    52    95   123    78   132 0.77 -
10313at4891_2|contig_13:165291-166868   -            526 17077at4891          -            266    0.0015   15.1   4.0   2   4       3.1   1.1e+02   -0.7   0.0    13    44   183   212   174   224 0.53 -
10313at4891_2|contig_13:165291-166868   -            526 17077at4891          -            266    0.0015   15.1   4.0   3   4      0.23         8    2.9   0.0   148   201   250   300   216   309 0.67 -
10313at4891_2|contig_13:165291-166868   -            526 17077at4891          -            266    0.0015   15.1   4.0   4   4      0.11       3.9    4.0   0.1   151   234   309   394   301   410 0.62 -
24793at4891_2|contig_27:74478-75452     -            325 17077at4891          -            266    0.0027   14.3   0.0   1   1   0.00015    0.0051   13.4   0.0     7    89   235   319   222   323 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/17077at4891.hmm
# Target file:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/17077at4891.out --cpu 1 /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/17077at4891.hmm /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/assembly.fasta.modified.fas 
# Current dir:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29
# Date:            Fri Feb 23 20:12:36 2024
# [ok]
