#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
11696at4891_2|contig_2:401773-403305    -            511 11696at4891          -            390  7.8e-205  677.6   4.3   1   1  2.4e-206  1.1e-204  677.1   4.3     6   390    84   511    79   511 0.91 -
6711at4891_3|contig_26:300073-302241    -            723 11696at4891          -            390     0.013   11.9   0.5   1   3      0.88        41    0.3   0.0   112   153   291   338   280   354 0.69 -
6711at4891_3|contig_26:300073-302241    -            723 11696at4891          -            390     0.013   11.9   0.5   2   3       1.7        77   -0.6   0.0   129   154   311   339   297   384 0.55 -
6711at4891_3|contig_26:300073-302241    -            723 11696at4891          -            390     0.013   11.9   0.5   3   3    0.0069      0.32    7.3   0.1   207   288   630   721   616   723 0.61 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/11696at4891.hmm
# Target file:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/11696at4891.out --cpu 1 /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/11696at4891.hmm /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/assembly.fasta.modified.fas 
# Current dir:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29
# Date:            Fri Feb 23 20:12:29 2024
# [ok]
