#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
3060at4891_2|contig_16:48934-51762      -            943 3060at4891           -            763         0 1120.7  41.2   1   1         0         0 1100.4  41.2     1   763     1   942     1   942 0.86 -
16921at4891_5|contig_3:821998-822693    -            232 3060at4891           -            763   2.7e-08   29.6  13.5   3   3      0.33        12    1.0   0.1   559   573   218   232   213   232 0.60 -
4664at4891_2|contig_4:46686-49286       -            867 3060at4891           -            763   3.3e-08   29.4   3.4   1   3   0.00022    0.0083   11.5   0.0   501   577     7    91     4    99 0.73 -
4664at4891_2|contig_4:46686-49286       -            867 3060at4891           -            763   3.3e-08   29.4   3.4   2   3       0.2       7.3    1.8   0.0   144   171   235   262   229   271 0.80 -
4664at4891_2|contig_4:46686-49286       -            867 3060at4891           -            763   3.3e-08   29.4   3.4   3   3   8.1e-05     0.003   13.0   0.2   155   186   294   326   287   348 0.82 -
11696at4891_2|contig_2:401773-403305    -            511 3060at4891           -            763   1.3e-07   27.4   0.5   1   2       4.2   1.5e+02   -2.6   0.0    59    89   217   247   205   256 0.69 -
11696at4891_2|contig_2:401773-403305    -            511 3060at4891           -            763   1.3e-07   27.4   0.5   2   2   1.8e-08   6.7e-07   25.0   0.7    21   131   328   451   315   469 0.67 -
17712at4891_2|contig_2:849820-851199    -            460 3060at4891           -            763   6.5e-07   25.1   0.9   1   4      0.29        11    1.2   0.0   371   401    15    47     3    61 0.54 -
17712at4891_2|contig_2:849820-851199    -            460 3060at4891           -            763   6.5e-07   25.1   0.9   2   4   0.00095     0.035    9.4   0.0    86   126    59    99    49   102 0.88 -
17712at4891_2|contig_2:849820-851199    -            460 3060at4891           -            763   6.5e-07   25.1   0.9   3   4    0.0008      0.03    9.7   0.1    53   133   142   223   116   237 0.78 -
17712at4891_2|contig_2:849820-851199    -            460 3060at4891           -            763   6.5e-07   25.1   0.9   4   4      0.75        28   -0.1   0.0    67   119   341   394   284   403 0.61 -
6691at4891_2|contig_20:138548-140266    -            573 3060at4891           -            763   1.6e-06   23.8   0.0   1   4    0.0016     0.059    8.7   0.0   528   574   219   265   214   273 0.82 -
6691at4891_2|contig_20:138548-140266    -            573 3060at4891           -            763   1.6e-06   23.8   0.0   2   4   2.9e-06   0.00011   17.7   0.0   459   577   234   354   230   364 0.92 -
6691at4891_2|contig_20:138548-140266    -            573 3060at4891           -            763   1.6e-06   23.8   0.0   3   4       1.7        63   -1.3   0.0   138   172   400   435   391   443 0.59 -
6691at4891_2|contig_20:138548-140266    -            573 3060at4891           -            763   1.6e-06   23.8   0.0   4   4      0.39        15    0.8   0.0    61   106   477   526   455   533 0.62 -
2531at4891_2|contig_2:566682-569015     -            778 3060at4891           -            763   1.9e-06   23.5   0.3   1   3   0.00018    0.0068   11.8   0.0    94   134   404   444   399   452 0.88 -
2531at4891_2|contig_2:566682-569015     -            778 3060at4891           -            763   1.9e-06   23.5   0.3   2   3    0.0017     0.062    8.6   0.0   351   403   632   685   608   723 0.70 -
2531at4891_2|contig_2:566682-569015     -            778 3060at4891           -            763   1.9e-06   23.5   0.3   3   3    0.0031      0.12    7.7   0.1   467   537   657   728   650   777 0.81 -
20201at4891_5|contig_2:470938-471882    -            315 3060at4891           -            763   2.5e-06   23.2   3.9   1   2   4.6e-07   1.7e-05   20.4   1.9   386   530     3   159     1   177 0.68 -
20201at4891_5|contig_2:470938-471882    -            315 3060at4891           -            763   2.5e-06   23.2   3.9   2   2      0.18       6.8    1.9   0.0    71    99   257   285   219   313 0.64 -
3395at4891|contig_3:149985-153314       -           1110 3060at4891           -            763   2.9e-06   22.9   1.9   1   3       4.1   1.5e+02   -2.6   0.0   384   401   178   195   171   211 0.62 -
3395at4891|contig_3:149985-153314       -           1110 3060at4891           -            763   2.9e-06   22.9   1.9   2   3   9.4e-06   0.00035   16.1   0.0    73   127   242   297   223   314 0.84 -
3395at4891|contig_3:149985-153314       -           1110 3060at4891           -            763   2.9e-06   22.9   1.9   3   3     0.023      0.86    4.9   0.0   298   368   394   469   372   488 0.74 -
21297at4891_1|contig_3:380300-381307    -            336 3060at4891           -            763   9.8e-06   21.2   1.3   1   2    0.0032      0.12    7.7   0.4   301   424    19   154     1   179 0.60 -
21297at4891_1|contig_3:380300-381307    -            336 3060at4891           -            763   9.8e-06   21.2   1.3   2   2   0.00016    0.0059   12.0   0.0   364   443   245   325   240   331 0.80 -
12680at4891_2|contig_25:268397-269374   -            326 3060at4891           -            763   1.1e-05   21.0   0.1   1   2   4.7e-06   0.00018   17.0   0.0    36   127    47   139    14   146 0.69 -
12680at4891_2|contig_25:268397-269374   -            326 3060at4891           -            763   1.1e-05   21.0   0.1   2   2      0.75        28   -0.2   0.0    58    97   200   239   172   276 0.67 -
16921at4891_3|contig_19:170554-171357   -            268 3060at4891           -            763   1.5e-05   20.6   1.1   1   1   4.9e-07   1.8e-05   20.3   0.3    32   167   114   262    83   268 0.67 -
5370at4891_4|contig_17:325129-326763    -            545 3060at4891           -            763   4.8e-05   18.9   1.6   1   1   1.4e-06   5.1e-05   18.8   0.0    37   138   206   306   187   340 0.80 -
18416at4891_5|contig_14:714201-715316   -            372 3060at4891           -            763   5.1e-05   18.8   0.1   1   3   0.00017    0.0064   11.9   0.0    62   148    69   155    39   161 0.77 -
18416at4891_5|contig_14:714201-715316   -            372 3060at4891           -            763   5.1e-05   18.8   0.1   2   3      0.28        10    1.3   0.0    70   400   235   252   162   265 0.70 -
18416at4891_5|contig_14:714201-715316   -            372 3060at4891           -            763   5.1e-05   18.8   0.1   3   3      0.19       6.9    1.9   0.1   555   575   294   314   268   329 0.73 -
10649at4891_2|contig_16:198326-200116   -            597 3060at4891           -            763   8.3e-05   18.1   0.1   1   3     1e-05   0.00038   15.9   0.0    56   148   256   353   210   362 0.78 -
10649at4891_2|contig_16:198326-200116   -            597 3060at4891           -            763   8.3e-05   18.1   0.1   2   3       6.2   2.3e+02   -3.2   0.0   470   488   422   440   412   450 0.46 -
10649at4891_2|contig_16:198326-200116   -            597 3060at4891           -            763   8.3e-05   18.1   0.1   3   3         3   1.1e+02   -2.1   0.0   285   324   496   535   468   566 0.69 -
12237at4891_2|contig_19:296301-297962   -            554 3060at4891           -            763   8.3e-05   18.1   1.6   1   2   3.7e-05    0.0014   14.1   0.3    75   129   115   170   105   227 0.80 -
12237at4891_2|contig_19:296301-297962   -            554 3060at4891           -            763   8.3e-05   18.1   1.6   2   2      0.15       5.6    2.1   0.0    57    95   345   383   302   395 0.75 -
15697at4891_3|contig_17:408371-409825   -            485 3060at4891           -            763   0.00041   15.8   0.0   1   1   2.5e-05   0.00091   14.7   0.0    76   128   332   386   292   394 0.84 -
1344at4891_2|contig_13:350608-353940    -           1111 3060at4891           -            763   0.00059   15.3   0.0   1   3         3   1.1e+02   -2.2   0.0    56    99    29    71    23    93 0.60 -
1344at4891_2|contig_13:350608-353940    -           1111 3060at4891           -            763   0.00059   15.3   0.0   2   3   9.4e-05    0.0035   12.8   0.0    62   109   163   210   118   221 0.77 -
1344at4891_2|contig_13:350608-353940    -           1111 3060at4891           -            763   0.00059   15.3   0.0   3   3       2.6        96   -1.9   0.0   341   397   268   325   262   332 0.85 -
4082at4891_2|contig_4:793850-796870     -           1007 3060at4891           -            763   0.00062   15.2   3.5   1   3    0.0011     0.041    9.2   0.5    52   169    36   155     4   167 0.75 -
4082at4891_2|contig_4:793850-796870     -           1007 3060at4891           -            763   0.00062   15.2   3.5   2   3     0.015      0.56    5.5   0.0    60    91   462   493   421   546 0.67 -
4082at4891_2|contig_4:793850-796870     -           1007 3060at4891           -            763   0.00062   15.2   3.5   3   3       5.1   1.9e+02   -2.9   0.0    53    91   592   630   581   634 0.77 -
24793at4891_2|contig_27:74478-75452     -            325 3060at4891           -            763    0.0011   14.3   0.4   1   2       4.6   1.7e+02   -2.8   0.0   341   367   101   125    70   128 0.56 -
24793at4891_2|contig_27:74478-75452     -            325 3060at4891           -            763    0.0011   14.3   0.4   2   2   0.00026    0.0098   11.3   0.1    77   131   221   276   219   321 0.44 -
27209at4891_7|contig_12:526249-527970   -            574 3060at4891           -            763    0.0069   11.8   4.2   1   3    0.0012     0.046    9.0   1.3    47   127   278   361   262   374 0.65 -
27209at4891_7|contig_12:526249-527970   -            574 3060at4891           -            763    0.0069   11.8   4.2   2   3      0.11         4    2.7   0.1    37   115   356   439   339   453 0.64 -
27209at4891_7|contig_12:526249-527970   -            574 3060at4891           -            763    0.0069   11.8   4.2   3   3       1.2        44   -0.8   0.0    27   402   490   510   469   539 0.53 -
14552at4891_2|contig_4:127680-128819    -            380 3060at4891           -            763     0.011   11.1   0.1   1   1    0.0018     0.068    8.5   0.1   428   489    24    86    14   178 0.65 -
15470at4891|contig_25:457952-458512     -            187 3060at4891           -            763     0.013   10.9   0.2   1   2    0.0008      0.03    9.7   0.1   468   530     9    70     1   115 0.71 -
15470at4891|contig_25:457952-458512     -            187 3060at4891           -            763     0.013   10.9   0.2   2   2       2.2        80   -1.7   0.0   112   127   168   183   152   186 0.58 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/3060at4891.hmm
# Target file:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/assembly.fasta.modified.fas
# Option settings: hmmsearch --domtblout /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/hmmer_output/initial_run_results/3060at4891.out --cpu 1 /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/busco_downloads/lineages/saccharomycetes_odb10/hmms/3060at4891.hmm /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29/results/04_busco/BUSCO_assembly.fasta/run_saccharomycetes_odb10/metaeuk_output/initial_results/assembly.fasta.modified.fas 
# Current dir:     /mnt/c/Users/HMarton/GitHub/LundUni/Pages/Projects/de_novo_BINP29
# Date:            Fri Feb 23 20:15:09 2024
# [ok]
